Zeitstempel,What is your gender?,How old are you? (please enter the years),What is your highest level of education?,Where are you from?,What did you study?,For how many semesters did you study?,Do you like the area/field of your study program?,"If you were not satisfied, after how many semesters did you realise that you dislike the program?",Were your expectations regarding the study program met?,Did you finish the degree?,Did you ever wish you would have studied something else?,What was your motivation to study this program? (multiple answers possible),Did you study during the pandemic?,"With your current knowledge, would you choose your program again?",Is your work related to what you studied?,How old were you when you started to study? (please enter the years),How many years before starting university did you decide what to study?,Were you convinced by your choice when you started to study?,What would have helped you in the decision-making process? (multiple answers possible)
16.05.2022 18:32:06,Female,22,Bachelor’s or equivalent level,Indonesia,Business/Management/Economics,6,2,4,3,Yes,"Yes, already while studying","Peer pressure, Money, Did not know what else to do","Yes, I graduated during the pandemic","No, I would study something else",No,19,1,6,"More guidance/support from school, More guidance/support from parents/family, Better orientation offers from university"
16.05.2022 18:50:12,Female,25,Bachelor’s or equivalent level,Moldova,Business/Management/Economics,7,7,3,7,Yes,"Yes, already while studying","Interest in the field, Limited Possibilities, Advise from friends/family","Yes, I graduated during the pandemic","No, I would study something else",I am still a student/just graduated,20,3,7,"Work/internship before going to university, Better orientation offers from university"
16.05.2022 18:53:32,Female,25,Master’s or equivalent level,Germany,Medicine/Psychology,10,9,6,9,Yes,No,Interest in the field,"Yes, I graduated during the pandemic","No, I would study something else",Yes,20,1,10,I did not need any help
16.05.2022 19:00:27,Male,23,Bachelor’s or equivalent level,Azerbaijan,Business/Management/Economics,7,9,7,8,Yes,No,"Interest in the field, Money","Yes, I started during the pandemic","Yes, I would do the same",Yes,20,1,9,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:13:15,Female,24,Bachelor’s or equivalent level,Poland,Business/Management/Economics,6,8,1,5,Yes,No,"Interest in the field, Money, Did not know what else to do","Yes, I started during the pandemic","Yes, I would do the same",Yes,19,1,8,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:15:01,Male,28,Master’s or equivalent level,Iran,Computer Science,5,4,2,1,"No, not yet","Yes, already while studying","Limited Possibilities, Advise from friends/family, Did not know what else to do","Yes, I started during the pandemic","No, I would study something else",I am still a student/just graduated,26,1,3,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university"
16.05.2022 19:18:12,Female,27,Master’s or equivalent level,Germany,Business/Management/Economics,12,8,I was satisfied,7,Yes,No,"Interest in the field, Money","Yes, I graduated during the pandemic","Yes, I would do the same",Yes,19,1,4,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:29:18,Female,32,Bachelor’s or equivalent level,Brazil,other,8,8,I was satisfied,6,Yes,"Yes, already while studying","Interest in the field, Did not know what else to do",No,"No, I would study something else",Yes,18,1,1,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:43:11,Female,22,Bachelor’s or equivalent level,Germany,Media/Journalism,8,8,I was satisfied,7,Yes,No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,18,1,5,Work/internship before going to university
16.05.2022 19:50:09,Female,25,Master’s or equivalent level,Portugal,Business/Management/Economics,> 20,8,I was satisfied,7,Yes,"Yes, after I graduated","Interest in the field, Advise from friends/family","Yes, I was already studying and I still am","Yes, I would do the same",No,18,1,7,"Work/internship before going to university, Better orientation offers from university"
16.05.2022 19:56:21,Male,29,Master’s or equivalent level,Canada,Business/Management/Economics,4,7,2,7,Yes,"Yes, after I graduated","Interest in the field, Money, Did not know what else to do","Yes, I graduated during the pandemic","No, I would study something else",No,25,1,3,"More guidance/support from school, Work/internship before going to university"
16.05.2022 20:05:53,Male,35,Bachelor’s or equivalent level,Germany,Language,8,7,I was satisfied,7,Yes,"Yes, after I graduated",Interest in the field,No,"No, I would study something else",Yes,19,1,8,"More guidance/support from school, Work/internship before going to university"
16.05.2022 20:06:09,Male,27,Master’s or equivalent level,Albania,Engineering,7,9,I was satisfied,7,Yes,No,"Interest in the field, Limited Possibilities","Yes, I graduated during the pandemic","Yes, I would do the same",No,23,1,10,I did not need any help
16.05.2022 20:07:08,Female,26,Master’s or equivalent level,China,Natural Science,14,7,I was satisfied,6,Yes,"Yes, after I graduated","Interest in the field, Peer pressure, Limited Possibilities","Yes, I graduated during the pandemic","No, I would study something else",I am still a student/just graduated,7,1,6,More guidance/support from school
16.05.2022 20:13:40,Female,26,Master’s or equivalent level,China,Natural Science,1,6,I was satisfied,4,Yes,"Yes, already while studying",Limited Possibilities,"Yes, I was already studying and I still am","No, I would study something else",I am still a student/just graduated,25,1,4,"More guidance/support from parents/family, Better orientation offers from university"
16.05.2022 20:16:27,Male,22,Bachelor’s or equivalent level,Moldova,Business/Management/Economics,6,7,3,5,Yes,"Yes, already while studying",Interest in the field,"Yes, I graduated during the pandemic","No, I would study something else",I am still a student/just graduated,18,1,10,other
16.05.2022 20:21:54,Male,28,Master’s or equivalent level,Albania,Engineering,10,8,2,10,Yes,No,Interest in the field,No,"Yes, I would do the same",Yes,18,2,5,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
16.05.2022 20:57:36,Female,22,Bachelor’s or equivalent level,Moldova,Business/Management/Economics,7,8,I was satisfied,8,Yes,"Yes, after I graduated",Did not know what else to do,"Yes, I graduated during the pandemic","No, I would study something else",No,18,2,9,More guidance/support from parents/family
16.05.2022 20:59:16,Male,24,Master’s or equivalent level,India,Engineering,4,9,I was satisfied,10,"No, not yet","Yes, already while studying",Interest in the field,"Yes, I started during the pandemic","Yes, I would do the same",I am still a student/just graduated,22,3,10,Better orientation offers from university
16.05.2022 21:17:04,Male,26,Bachelor’s or equivalent level,Spain,Political Science,6,9,I was satisfied,7,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,24,2,6,Work/internship before going to university
16.05.2022 21:51:32,Male,27,Secondary Education,Syria,other,6,2,1,3,"No, I dropped out","Yes, already while studying",Other,No,"No, I would study something else",No,18,1,3,"More guidance/support from parents/family, Work/internship before going to university"
17.05.2022 00:47:10,Female,23,Bachelor’s or equivalent level,Germany,Business/Management/Economics,6,3,2,5,Yes,"Yes, after I graduated",Did not know what else to do,"Yes, I graduated during the pandemic","No, I would study something else",No,20,1,3,Work/internship before going to university
17.05.2022 05:00:35,Female,23,Bachelor’s or equivalent level,Germany,Engineering,7,9,I was satisfied,9,Yes,No,"Interest in the field, Advise from friends/family","Yes, I graduated during the pandemic","Yes, I would do the same",I am still a student/just graduated,18,1,9,More guidance/support from parents/family
17.05.2022 07:51:09,Male,26,Master’s or equivalent level,India,Engineering,5,10,I was satisfied,10,"No, not yet",No,"Interest in the field, Reputation","Yes, I started during the pandemic","Yes, I would do the same",Yes,24,1,9,"Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:04:43,Female,35,Master’s or equivalent level,Spain,Media/Journalism,8,1,2,1,"No, I dropped out","Yes, already while studying","Peer pressure, Advise from friends/family, Did not know what else to do","Yes, I was already studying and I still am","No, I would study something else",No,18,1,5,"Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:13:30,Male,26,Master’s or equivalent level,Spain,Engineering,9,3,5,3,Yes,"Yes, after I graduated","Interest in the field, Money, Advise from friends/family",No,"No, I would study something else",No,18,1,6,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:22:02,Female,20,Secondary Education,Albania,Business/Management/Economics,2,4,2,1,"No, not yet",No,"Interest in the field, Money, Advise from friends/family, Did not know what else to do","Yes, I was already studying and I still am","No, I would study something else",I am still a student/just graduated,20,1,10,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:27:17,Female,26,Master’s or equivalent level,Albania,Business/Management/Economics,6,9,I was satisfied,9,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,18,1,8,"More guidance/support from school, Work/internship before going to university"
17.05.2022 09:40:01,Female,32,Master’s or equivalent level,Italy,Business/Management/Economics,11,8,I was satisfied,7,Yes,"Yes, after I graduated","Interest in the field, Advise from friends/family",No,"No, I would study something else",No,19,1,8,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:40:20,Male,25,Master’s or equivalent level,Albania,Business/Management/Economics,5,6,2,4,"No, not yet",No,"Money, Reputation","Yes, I was already studying and I still am","Yes, I would do the same",Yes,22,1,5,I did not need any help
17.05.2022 09:44:50,Male,29,Bachelor’s or equivalent level,Albania,Computer Science,8,9,I was satisfied,8,Yes,No,"Interest in the field, Money",No,"Yes, I would do the same",Yes,20,2,8,"Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:45:25,Female,19,Bachelor’s or equivalent level,Albania,Business/Management/Economics,4,8,3,7,"No, not yet",No,"Interest in the field, Money, Advise from school","Yes, I started during the pandemic","Yes, I would do the same",I am still a student/just graduated,18,2,7,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 09:51:47,Male,24,Bachelor’s or equivalent level,Albania,Engineering,9,8,I was satisfied,4,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",Yes,18,1,10,Work/internship before going to university
17.05.2022 09:54:31,Female,30,Master’s or equivalent level,Albania,Business/Management/Economics,5,7,I was satisfied,8,"No, not yet",No,Interest in the field,"Yes, I started during the pandemic","Yes, I would do the same",Yes,28,5,8,I did not need any help
17.05.2022 09:58:40,Female,29,Master’s or equivalent level,Brazil,Law,10,8,6,8,Yes,No,Interest in the field,"Yes, I graduated during the pandemic","No, I would study something else",No,20,1,10,Work/internship before going to university
17.05.2022 10:05:04,Male,21,Bachelor’s or equivalent level,Albania,Business/Management/Economics,6,7,I was satisfied,9,"No, not yet","Yes, already while studying","Interest in the field, Money","Yes, I was already studying and I still am","No, I would study something else",Yes,18,1,7,Better orientation offers from university
17.05.2022 10:11:58,Male,25,Bachelor’s or equivalent level,Albania,Engineering,5,8,I was satisfied,7,"No, not yet","Yes, already while studying","Interest in the field, Limited Possibilities","Yes, I was already studying and I still am","No, I would study something else",I am still a student/just graduated,23,1,7,"More guidance/support from school, Work/internship before going to university"
17.05.2022 10:20:53,Male,25,Bachelor’s or equivalent level,Greece,Business/Management/Economics,4,8,2,7,"No, not yet","Yes, after I graduated","Interest in the field, Did not know what else to do","Yes, I started during the pandemic","No, I would study something else",I am still a student/just graduated,24,1,8,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university, Better orientation offers from university"
17.05.2022 10:40:49,Female,24,Bachelor’s or equivalent level,Germany,Business/Management/Economics,7,7,I was satisfied,6,"No, not yet","Yes, already while studying","Interest in the field, Advise from friends/family","Yes, I was already studying and I still am","No, I would study something else",Yes,20,1,9,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 10:48:21,Female,27,Bachelor’s or equivalent level,Albania,Business/Management/Economics,8,7,4,7,"No, not yet","Yes, already while studying","Money, Advise from friends/family","Yes, I was already studying and I still am","No, I would study something else",No,24,1,9,"More guidance/support from parents/family, Work/internship before going to university"
17.05.2022 11:02:54,Female,29,Bachelor’s or equivalent level,Albania,Business/Management/Economics,6,8,1,7,"No, not yet","Yes, after I graduated",Money,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,27,1,8,Work/internship before going to university
17.05.2022 11:09:23,Female,25,Bachelor’s or equivalent level,Albania,Business/Management/Economics,8,8,I was satisfied,6,Yes,"Yes, already while studying","Interest in the field, Advise from friends/family, Advise from school","Yes, I graduated during the pandemic","Yes, I would do the same",I am still a student/just graduated,18,1,9,"More guidance/support from school, Work/internship before going to university"
17.05.2022 11:16:43,Female,24,Secondary Education,Germany,Educational Science,7,3,3,3,"No, not yet","Yes, already while studying",Interest in the field,"Yes, I was already studying and I still am","No, I would study something else",I am still a student/just graduated,20,1,5,Better orientation offers from university
17.05.2022 11:19:23,Female,23,Secondary Education,Albania,Medicine/Psychology,8,10,2,9,"No, not yet",No,"Interest in the field, Money, Reputation","Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,19,5,10,"Work/internship before going to university, Better orientation offers from university"
17.05.2022 11:31:34,Male,23,Bachelor’s or equivalent level,Albania,Engineering,8,8,I was satisfied,7,"No, not yet",No,"Interest in the field, Advise from friends/family, Other","Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,19,5,9,other
17.05.2022 11:44:36,Male,23,Master’s or equivalent level,Germany,Engineering,10,8,I was satisfied,8,Yes,No,"Advise from friends/family, Did not know what else to do","Yes, I was already studying and I still am","Yes, I would do the same",Yes,19,1,4,"More guidance/support from school, Better orientation offers from university"
17.05.2022 12:08:39,Male,22,Secondary Education,Germany,other,7,5,4,5,"No, not yet",No,"Interest in the field, Money, Other","Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,18,2,10,I did not need any help
17.05.2022 12:28:03,Female,31,Master’s or equivalent level,Albania,other,10,10,I was satisfied,9,Yes,No,"Interest in the field, Money, Did not know what else to do",No,"Yes, I would do the same",I am still a student/just graduated,18,1,10,I did not need any help
17.05.2022 13:10:31,Male,31,Bachelor’s or equivalent level,Spain,Business/Management/Economics,> 20,6,> 10,6,Yes,"Yes, already while studying","Did not know what else to do, Other",No,"No, I would study something else",Yes,18,1,3,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university"
17.05.2022 13:23:53,Male,28,Bachelor’s or equivalent level,Portugal,Natural Science,8,7,I was satisfied,7,Yes,No,Other,No,"Yes, I would do the same",No,18,2,8,I did not need any help
17.05.2022 13:41:01,Male,25,Bachelor’s or equivalent level,Portugal,Political Science,4,6,1,9,"No, I dropped out","Yes, already while studying",Interest in the field,"Yes, I was already studying and I still am","No, I would study something else",No,21,1,10,Better orientation offers from university
17.05.2022 13:47:53,Male,29,Master’s or equivalent level,India,Computer Science,5,7,I was satisfied,7,"No, not yet","Yes, after I graduated","Interest in the field, Money, Limited Possibilities","Yes, I was already studying and I still am","Yes, I would do the same",Yes,27,1,8,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university, Better orientation offers from university"
17.05.2022 13:56:01,Male,31,Master’s or equivalent level,France,Law,3,7,2,6,Yes,"Yes, after I graduated","Money, Reputation, Limited Possibilities, Advise from school",No,"No, I would study something else",No,28,1,8,"More guidance/support from school, More guidance/support from parents/family, Work/internship before going to university"
17.05.2022 14:02:25,Female,29,Master’s or equivalent level,France,other,10,8,I was satisfied,7,Yes,"Yes, already while studying","Interest in the field, Money, Other",No,"No, I would study something else",Yes,19,1,8,"Work/internship before going to university, other"
17.05.2022 14:06:26,Male,29,Master’s or equivalent level,Germany,other,20,8,1,7,Yes,"Yes, after I graduated","Interest in the field, Advise from school","Yes, I graduated during the pandemic","No, I would study something else",No,18,1,8,other
17.05.2022 14:20:47,Female,19,Bachelor’s or equivalent level,Indonesia,Business/Management/Economics,2,7,2,3,"No, not yet","Yes, already while studying","Interest in the field, Money, Advise from friends/family, Advise from school","Yes, I started during the pandemic","Yes, I would do the same",I am still a student/just graduated,18,10,10,Better orientation offers from university
17.05.2022 14:21:51,Male,20,Secondary Education,Bulgaria,Engineering,2,9,I was satisfied,6,"No, not yet",No,"Interest in the field, Money, Advise from friends/family",No,"Yes, I would do the same",I am still a student/just graduated,19,2,7,other
17.05.2022 14:26:12,Female,22,Master’s or equivalent level,Moldova,Business/Management/Economics,2,8,I was satisfied,9,"No, not yet",No,"Interest in the field, Money, Did not know what else to do","Yes, I was already studying and I still am","Yes, I would do the same",Yes,21,1,9,I did not need any help
17.05.2022 14:26:14,Female,23,Master’s or equivalent level,Azerbaijan,Business/Management/Economics,2,8,2,5,"No, not yet","Yes, already while studying",Interest in the field,"Yes, I started during the pandemic","No, I would study something else",I am still a student/just graduated,22,2,6,Work/internship before going to university
17.05.2022 14:29:08,Male,24,Bachelor’s or equivalent level,Germany,Engineering,10,8,I was satisfied,7,"No, not yet",No,"Interest in the field, Limited Possibilities","Yes, I graduated during the pandemic","Yes, I would do the same",Yes,18,1,9,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 14:33:03,Male,34,Secondary Education,United Kingdom (UK),other,6,7,I was satisfied,5,"No, I dropped out",No,Interest in the field,No,"Yes, I would do the same",No,21,3,7,I did not need any help
17.05.2022 14:40:00,Non-binary,23,Bachelor’s or equivalent level,Ukraine,Business/Management/Economics,3,3,> 10,4,"No, not yet","Yes, already while studying",Limited Possibilities,"Yes, I started during the pandemic","No, I would study something else",I am still a student/just graduated,22,1,7,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 14:51:56,Male,25,Master’s or equivalent level,Albania,Computer Science,7,5,1,4,"No, I dropped out","Yes, already while studying","Money, Advise from friends/family, Did not know what else to do","Yes, I was already studying and I still am","No, I would study something else",Yes,22,1,3,"More guidance/support from parents/family, Work/internship before going to university"
17.05.2022 14:53:42,Female,23,Master’s or equivalent level,Moldova,Business/Management/Economics,8,8,I was satisfied,8,"No, not yet","Yes, already while studying","Interest in the field, Money","Yes, I was already studying and I still am","Yes, I would do the same",Yes,19,2,10,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university"
17.05.2022 15:04:43,Male,25,Master’s or equivalent level,Germany,Business/Management/Economics,4,8,I was satisfied,6,Yes,"Yes, already while studying","Interest in the field, Money","Yes, I was already studying and I still am","No, I would study something else",Yes,19,2,4,"More guidance/support from school, Work/internship before going to university, Better orientation offers from university, other"
17.05.2022 15:06:59,Female,25,Bachelor’s or equivalent level,Germany,Business/Management/Economics,2,9,I was satisfied,10,"No, not yet",No,"Interest in the field, Peer pressure, Money, Reputation, Did not know what else to do","Yes, I started during the pandemic","Yes, I would do the same",I am still a student/just graduated,25,1,6,I did not need any help
17.05.2022 15:43:19,Female,22,Secondary Education,Germany,Business/Management/Economics,8,8,I was satisfied,7,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,18,1,10,I did not need any help
17.05.2022 15:43:40,Female,27,Bachelor’s or equivalent level,Portugal,Music/Arts,8,9,I was satisfied,8,Yes,"Yes, after I graduated",Interest in the field,No,"Yes, I would do the same",No,17,3,3,Better orientation offers from university
17.05.2022 16:44:15,Female,27,Master’s or equivalent level,Albania,Engineering,4,8,I was satisfied,7,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",Yes,24,1,9,"More guidance/support from parents/family, Work/internship before going to university, Better orientation offers from university"
17.05.2022 17:04:55,Female,24,Bachelor’s or equivalent level,Ukraine,Business/Management/Economics,8,8,I was satisfied,8,Yes,No,Interest in the field,"Yes, I graduated during the pandemic","Yes, I would do the same",I am still a student/just graduated,19,2,8,More guidance/support from school
17.05.2022 17:06:58,Male,30,Bachelor’s or equivalent level,Netherlands,Media/Journalism,10,9,2,7,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",Yes,25,3,6,"More guidance/support from parents/family, Work/internship before going to university"
17.05.2022 17:08:39,Female,21,Bachelor’s or equivalent level,Vietnam,Music/Arts,5,8,I was satisfied,7,"No, not yet",No,"Interest in the field, Money","Yes, I was already studying and I still am","No, I would study something else",Yes,18,1,9,I did not need any help
17.05.2022 17:22:22,Female,25,Bachelor’s or equivalent level,Germany,Business/Management/Economics,10,8,I was satisfied,7,"No, not yet",No,"Interest in the field, Did not know what else to do","Yes, I started during the pandemic","Yes, I would do the same",I am still a student/just graduated,18,1,3,"More guidance/support from school, Better orientation offers from university"
17.05.2022 17:24:40,Female,34,Master’s or equivalent level,Iran,Business/Management/Economics,4,9,I was satisfied,6,"No, not yet",No,Interest in the field,"Yes, I was already studying and I still am","Yes, I would do the same",I am still a student/just graduated,32,1,5,I did not need any help
17.05.2022 17:27:02,Female,24,Master’s or equivalent level,China,Social Science,10,7,I was satisfied,5,Yes,"Yes, already while studying",Interest in the field,"Yes, I graduated during the pandemic","Yes, I would do the same",Yes,20,3,6,More guidance/support from parents/family
17.05.2022 17:28:53,Female,24,Master’s or equivalent level,China,Natural Science,13,8,5,5,Yes,"Yes, already while studying",Interest in the field,"Yes, I graduated during the pandemic","Yes, I would do the same",No,18,1,10,I did not need any help
17.05.2022 17:36:36,Female,26,Master’s or equivalent level,Ireland,Music/Arts,3,10,I was satisfied,9,"No, not yet",No,"Interest in the field, Money, Limited Possibilities",No,"Yes, I would do the same",Yes,25,1,7,I did not need any help
